"Id","StationID","TurbinID","PeriodType","PeriodValue","URT","Consumption"
1,2,"01",0,5,"902.4497950827022","2336.317"
2,2,"03",0,5,"845.8410682355299","2006.128"
3,3,"12",0,5,"954.9855727375145","692.657"
4,3,"14",0,5,"2646.468920230697","4124.769"
5,7,"01",0,5,"989.7260782730269","1464.602"
6,7,"03",0,5,"1079.2279221926565","5189.05"
7,9,"01",0,5,"2564.2001143859648","5155"
8,9,"03",0,5,"2365.0413548649017","4265"
9,9,"06",0,5,"2060.762407062065","7522"
10,14,"02",0,5,"998.273820607985","129.28"
11,14,"04",0,5,"936.6664962638422","439.513"
12,15,"01",0,4,"2192.560555173599","4510"
13,15,"05",0,5,"1797.6434715158987","8520"
14,17,"06",0,5,"1607.252467675494","2269"
15,17,"08",0,5,"1446.6131535011023","2482"
16,21,"02",0,5,"3307.0874463852497","856"
17,21,"03",0,5,"2224.0229088799315","1513"
18,22,"01",0,4,"1016.3259715119548","56.498"
19,22,"04",0,5,"1492.4350508058758","1200.249"
20,22,"05",0,5,"1949.9921983535598","1786.141"
21,22,"07",0,5,"2015.4067808269128","4643.455"
22,22,"08",0,5,"1918.446657547318","4302.01"
23,24,"01",0,5,"2272.967362424446","8023.661"
24,24,"02",0,5,"2244.703718088727","7889.961"
25,24,"04",0,5,"2227.4938059803217","7961.099"
26,24,"06",0,5,"2202.37042416603","7596.183"
27,24,"08",0,5,"2346.0887635432355","8632.567"
28,24,"09",0,5,"2090.5982581160893","6063.799"
29,24,"10",0,5,"1969.5786520659642","6185.15"
30,26,"01",0,5,"2456.539430099515","4980.63"
31,26,"05",0,5,"1905.8499302491816","5072.646"
32,2,"01",1,5,"902.4497950827022","2336.317"
33,2,"03",1,5,"845.8410682355299","2006.128"
34,3,"12",1,5,"954.9855727375145","692.657"
35,3,"14",1,5,"2646.468920230697","4124.769"
36,7,"01",1,5,"989.7260782730269","1464.602"
37,7,"03",1,5,"1079.2279221926565","5189.05"
38,9,"01",1,5,"2564.2001143859648","5155"
39,9,"03",1,5,"2365.0413548649017","4265"
40,9,"06",1,5,"2060.762407062065","7522"
41,14,"02",1,5,"998.273820607985","129.28"
42,14,"04",1,5,"936.6664962638422","439.513"
43,15,"01",1,4,"2192.560555173599","4510"
44,15,"05",1,5,"1797.6434715158987","8520"
45,17,"06",1,5,"1607.252467675494","2269"
46,17,"08",1,5,"1446.6131535011023","2482"
47,21,"02",1,5,"3307.0874463852497","856"
48,21,"03",1,5,"2224.0229088799315","1513"
49,22,"01",1,4,"1016.3259715119548","56.498"
50,22,"04",1,5,"1492.4350508058758","1200.249"
51,22,"05",1,5,"1949.9921983535598","1786.141"
52,22,"07",1,5,"2015.4067808269128","4643.455"
53,22,"08",1,5,"1918.446657547318","4302.01"
54,24,"01",1,5,"2272.967362424446","8023.661"
55,24,"02",1,5,"2244.703718088727","7889.961"
56,24,"04",1,5,"2227.4938059803217","7961.099"
57,24,"06",1,5,"2202.37042416603","7596.183"
58,24,"08",1,5,"2346.0887635432355","8632.567"
59,24,"09",1,5,"2090.5982581160893","6063.799"
60,24,"10",1,5,"1969.5786520659642","6185.15"
61,26,"01",1,5,"2456.539430099515","4980.63"
62,26,"05",1,5,"1905.8499302491816","5072.646"
63,2,"01",2,5,"902.4497950827022","2336.317"
64,2,"03",2,5,"845.8410682355299","2006.128"
65,3,"12",2,5,"954.9855727375145","692.657"
66,3,"14",2,5,"2646.468920230697","4124.769"
67,7,"01",2,5,"989.7260782730269","1464.602"
68,7,"03",2,5,"1079.2279221926565","5189.05"
69,9,"01",2,5,"2564.2001143859648","5155"
70,9,"03",2,5,"2365.0413548649017","4265"
71,9,"06",2,5,"2060.762407062065","7522"
72,14,"02",2,5,"998.273820607985","129.28"
73,14,"04",2,5,"936.6664962638422","439.513"
74,15,"01",2,4,"2192.560555173599","4510"
75,15,"05",2,5,"1797.6434715158987","8520"
76,17,"06",2,5,"1607.252467675494","2269"
77,17,"08",2,5,"1446.6131535011023","2482"
78,21,"02",2,5,"3307.0874463852497","856"
79,21,"03",2,5,"2224.0229088799315","1513"
80,22,"01",2,4,"1016.3259715119548","56.498"
81,22,"04",2,5,"1492.4350508058758","1200.249"
82,22,"05",2,5,"1949.9921983535598","1786.141"
83,22,"07",2,5,"2015.4067808269128","4643.455"
84,22,"08",2,5,"1918.446657547318","4302.01"
85,24,"01",2,5,"2272.967362424446","8023.661"
86,24,"02",2,5,"2244.703718088727","7889.961"
87,24,"04",2,5,"2227.4938059803217","7961.099"
88,24,"06",2,5,"2202.37042416603","7596.183"
89,24,"08",2,5,"2346.0887635432355","8632.567"
90,24,"09",2,5,"2090.5982581160893","6063.799"
91,24,"10",2,5,"1969.5786520659642","6185.15"
92,26,"01",2,5,"2456.539430099515","4980.63"
93,26,"05",2,5,"1905.8499302491816","5072.646"
