"Id","StationID","TurbinID","PeriodType","PeriodValue","URT","Consumption","NominalURT"
1,2,"01",0,7,"1137.0419309491203","2599.487","1180.685714285714"
2,2,"02",0,7,"1064.5186624941207","2479.835","1176.642857142857"
3,2,"03",0,7,"1091.7072832231568","2322.225","1107.4714285714288"
4,2,"04",0,7,"1026.947701335607","3219.141","1196.0428571428572"
5,3,"09",0,8,"901.1236910272025","897","923.5375000000001"
6,3,"11",0,8,"1843.762942008367","2012.29","2136.85875"
7,3,"14",0,8,"1895.820007961585","4040.543","1557.8609999999999"
8,4,"03",0,7,"1668.0211828549218","783.601","1891.436714285714"
9,4,"04",0,7,"2777.0228151916453","1478.821","2107.5817142857145"
10,4,"05",0,7,"1848.199043207433","743.052","1922.3272857142856"
11,4,"06",0,7,"1725.2829805152446","810.475","1929.231142857143"
12,4,"09",0,7,"1440.1045290760303","2844.52","1591.6041428571427"
13,4,"10",0,7,"979.5585932760822","2105.981","909.9881428571429"
14,5,"03",0,8,"938.2981355517494","506","948.5237500000001"
15,5,"05",0,8,"923.8887160262418","562","922.925"
16,5,"06",0,8,"1436.6667404255318","147","1437.8999999999999"
17,5,"07",0,8,"1165.8959233668343","210","1155.33125"
18,5,"10",0,8,"918.6251717171716","736","916.2337500000001"
19,5,"11",0,8,"1690.6220691084484","2973","1554.0375"
20,7,"01",0,8,"1219.1093514445706","1604.229","1256.625"
21,7,"02",0,8,"1008.0051045364004","4072.13","1034.625"
22,7,"03",0,8,"1422.3048069133026","4829.35","1451.625"
23,9,"02",0,8,"2527.155823853169","5831","0"
24,9,"03",0,8,"2236.7377171779776","4874","0"
25,9,"06",0,8,"2026.8738264693525","9548","0"
26,9,"07",0,8,"2029.757530403446","8834","0"
27,12,"01",0,8,"1622.622878999762","4823.66","1638.6381250000002"
28,13,"01",0,7,"2427.0570312212053","321.367","2347.303"
29,13,"02",0,7,"935.3526002890516","271.689","945.0077142857143"
30,13,"03",0,7,"1015.296272677412","147.62","965.7698571428571"
31,14,"04",0,8,"930.8315749631147","559.894","941.64375"
32,14,"07",0,8,"939.9090394054601","469.066","943.86625"
